id,title,type,description,release_year,age_certification,runtime,genres,imdb_id,imdb_score
ts20694,The Larry Sanders Show,SHOW,"Comic Garry Shandling draws upon his own talk show experiences to create the character of Larry Sanders, a paranoid, insecure host of a late night talk show. Larry, along with his obsequious TV sidekick Hank Kingsley and his fiercely protective producer Artie, allows Garry Shandling and his talented writers to look behind the scenes and to show us a convincing slice of behind the camera life.",1992,TV-MA,25,['comedy'],tt0103466,8.5
ts79396,Space Probes!,SHOW,"They’re out there, all alone in the vastness of space. Join the space probes, and their parents back on Earth, to explore our solar system.",2016,,23,['documentation'],tt6946742,8.5
ts21621,The Office,SHOW,Documentary-style sitcom set in the offices of a Slough paper merchant.,2001,TV-MA,32,"['comedy', 'drama', 'european']",tt0290978,8.5
ts38802,The Night Of,SHOW,"After a night of partying with a female stranger, a man wakes up to find her stabbed to death and is charged with her murder.",2016,TV-MA,65,"['drama', 'crime']",tt2401256,8.5
ts41275,Big Little Lies,SHOW,The tale of three mothers of first graders whose apparently perfect lives unravel to the point of murder.,2017,TV-MA,50,"['drama', 'crime']",tt3920596,8.5
ts254885,Peacemaker,SHOW,"The continuing story of Peacemaker – a compellingly vainglorious man who believes in peace at any cost, no matter how many people he has to kill to get it – in the aftermath of the events of “The Suicide Squad.”",2022,TV-MA,43,"['action', 'scifi', 'fantasy', 'comedy', 'crime', 'family']",tt13146488,8.5
tm37127,The World of Apu,MOVIE,Apu is a jobless ex-student dreaming vaguely of a future as a writer. An old college friend talks him into a visit up-country to a village wedding...,1959,PG-13,105,['drama'],tt0052572,8.5
ts190845,Mare of Easttown,SHOW,A detective in a small Pennsylvania town investigates a local murder while trying to keep her life from falling apart.,2021,TV-MA,60,"['crime', 'drama']",tt10155688,8.5
tm59586,George Carlin: It's Bad for Ya!,MOVIE,"It's Bad For Ya, Carlin's Emmy nominated 14th and final HBO special from March of 2008 features Carlin's noted irreverent and unapologetic observations on topics ranging from death, religion, bureaucracy, patriotism, overprotected children and big business to the pungent examinations of modern language and the decrepit state of the American culture.",2008,R,70,"['comedy', 'documentation']",tt0963207,8.5
tm27911,The Departed,MOVIE,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006,R,151,"['drama', 'thriller', 'action', 'crime']",tt0407887,8.5
