id,title,type,description,release_year,age_certification,runtime,genres,imdb_id,imdb_score
ts22456,Ned's Declassified School Survival Guide,SHOW,"The whacky adventures of Ned Bigby and his best pals Moze and Cookie at James K. Polk Middle School, as ""every-kid"" Ned shatters the fourth wall to share tips and tricks on navigating middle school or junior high hurdles. Ned's not super cool, and he has no superpowers. He is, however, witty, well-groomed, upbeat and self-aware. Moreover, with more than a little help from his two best friends, he's equipped to conquer middle school minefields. From crushing bullies to crushes, from off- the-wall, mean and cool teachers to pop quizzes, elections and detentions, Ned knows that nothing, including the seventh grade, is as bad as it seems, and friendship matters most.",2004,TV-G,25,"['family', 'comedy']",tt0405576,7.4
tm817709,Rocks,MOVIE,A young teenage girl finds herself struggling to take care of herself and her younger brother after being abandoned by their single mother with no choice but to live out on the streets.,2019,,93,['drama'],tt9067182,7.4
tm845484,Dick Johnson Is Dead,MOVIE,"With this inventive portrait, director Kirsten Johnson seeks a way to keep her 86-year-old father alive forever. Utilizing moviemaking magic and her family’s dark humor, she celebrates Dr. Dick Johnson’s last years by staging fantasies of death and beyond. Together, dad and daughter confront the great inevitability awaiting us all.",2020,PG-13,89,"['documentation', 'drama']",tt11394180,7.4
ts256007,Love & Anarchy,SHOW,A married consultant and a young IT tech kick off a flirty game that challenges societal norms — and leads them to re-evaluate their entire lives.,2020,TV-MA,31,"['comedy', 'drama', 'romance']",tt10888876,7.4
tm19608,The Blazing Sun,MOVIE,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",1954,,100,"['crime', 'romance', 'drama']",tt0047500,7.4
tm816038,Violet Evergarden: Eternity and the Auto Memories Doll,MOVIE,"Violet Evergarden, a former soldier returned from war, comes to teach at a women's academy and changes a young girl's life.",2019,,90,"['family', 'animation', 'drama', 'fantasy']",tt10477558,7.4
ts355168,The Hidden Lives of Pets,SHOW,Bow wows and purr-fect pets. Meet amazing creatures from around the world and dig into the latest science on our animal friends' senses and skills.,2022,,32,['documentation'],tt20560384,7.4
tm458186,Komola Rocket,MOVIE,A manifestation of lives of people coming from different classes and beliefs in a steamer as they set out for their journeys. Things start to get out of hand when the steamer gets stuck amidst the passage and deepest secrets and desires start to unfold.,2018,,95,['drama'],tt8506874,7.4
tm307910,What the Health,MOVIE,"Filmmaker Kip Andersen uncovers the secret to preventing and even reversing chronic diseases, and he investigates why the nation's leading health organizations doesn't want people to know about it.",2017,,97,['documentation'],tt6089582,7.4
tm91046,"Cairo 6,7,8",MOVIE,"Three women seek justice due to the difficult daily situation which sexual harassment causes in the streets of Cairo, Egypt.",2010,,100,['drama'],tt1764141,7.4
ts21368,Black Money Love,SHOW,"Ömer is a police officer. After the death of his fiancée, he suffers great pain. The body of Sibel, Ömer's fiancée, was found on the top of a cliff, in a car next to a fairly old, rich business man. After the shock of her sudden death and the accusations of his love cheating on him, Ömer realizes that there is more behind her suspicious murder",2014,TV-MA,76,"['action', 'drama', 'romance', 'crime']",tt3565486,7.4
ts78507,Alexa & Katie,SHOW,Lifelong best friends Alexa and Katie are eagerly anticipating the start of their freshman year of high school. The pals confront a crisis that leaves them feeling like outsiders at a time when what seems to matter most is fitting in.,2018,TV-Y7,25,"['comedy', 'drama']",tt6916746,7.4
ts310057,True Story,SHOW,A world-famous comedian desperately searches for a way out after a night in Philadelphia with his brother threatens to sabotage more than his success.,2021,TV-MA,39,"['drama', 'thriller', 'comedy', 'crime']",tt13655456,7.4
tm673809,Schumacher,MOVIE,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",2021,,112,"['sport', 'documentation']",tt10322274,7.4
tm350945,Posesif,MOVIE,A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.,2017,,102,"['drama', 'comedy', 'romance']",tt7541708,7.4
ts237722,The Cuphead Show!,SHOW,Follow the misadventures of the impulsive Cuphead and his cautious but persuadable brother Mugman in this animated series based on the hit video game.,2022,TV-Y7,15,"['animation', 'comedy', 'family', 'fantasy', 'action']",tt10611608,7.4
ts83247,Stay Here,SHOW,Designer Genevieve Gorder and real estate expert Peter Lorimer show property owners how to turn their short-term rentals into moneymaking showstoppers.,2018,TV-PG,32,"['reality', 'documentation']",tt8773338,7.4
ts116814,The Twelve,SHOW,Twelve ordinary people are called for jury duty for a murder case as traumatizing as it is controversial in which a woman stands trial for killing her own blood.,2019,TV-MA,48,"['thriller', 'drama']",tt19354884,7.4
ts250172,Afronta!,SHOW,"Afronta invites contemporary black artists and thinkers to discuss representation, belonging, entrepreneurship, ancestrality and AFROFUTURISM through their experiences and personal histories. These reflections will contribute to the understanding of how the Brazilian black community is creating a network to promote the autonomy to change our reality of today, while inventing one for tomorrow.",2017,TV-PG,14,['documentation'],tt12467250,7.4
tm991529,The Hand of God,MOVIE,"In 1980s Naples, Italy, an awkward Italian teen struggling to find his place experiences heartbreak and liberation after he's inadvertently saved from a freak accident by football legend Diego Maradona.",2021,R,130,['drama'],tt12680684,7.4
tm244277,Pa Paandi,MOVIE,"‘Power’ Paandi, once a legendary stunt master who ruled the world of film stunts in his prime years is now content in living a peaceful life with his son and grandchildren. But he soon realizes that his acts that he thinks is normal and righteous, constantly irks his son who seems to taking their relationship for granted. One such overblown tiff with his son drives him to go do some soul searching, the outcome of which has many unexpected experiences.",2017,,125,"['comedy', 'action', 'romance', 'drama', 'family']",tt6734886,7.4
ts89840,Virgin River,SHOW,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",2019,TV-14,44,"['drama', 'romance']",tt9077530,7.4
ts88578,Firefly Lane,SHOW,"For decades, childhood best friends Kate and Tully have weathered life's storms together -- until a betrayal threatens to break them apart for good.",2021,TV-MA,50,"['drama', 'romance']",tt9012876,7.4
ts80671,We Speak Dance,SHOW,Trained dancer Vandana Hart travels the world to learn traditional and urban dance styles from the local experts who know them best.,2018,TV-MA,22,['documentation'],tt7737500,7.4
tm38454,Jeff Dunham's Very Special Christmas Special,MOVIE,The multi-platinum selling comedian performs his first holiday-themed stand-up special with his friends.,2008,PG-13,85,"['comedy', 'documentation']",tt1295909,7.4
tm284015,My Happy Family,MOVIE,"In a patriarchal society, an ordinary Georgian family lives with three generations under one roof. All are shocked when 52-year-old Manana decides to move out from her parents’ home and live alone. Without her family and her husband, a journey into the unknown begins.",2017,,119,['drama'],tt5791536,7.4
ts240453,Clark,SHOW,"This is the incredible story behind Sweden's most notorious gangster, Clark Olofsson, whose infamous crimes gave rise to the term ""Stockholm Syndrome"".",2022,TV-MA,61,"['thriller', 'action', 'comedy', 'crime', 'drama']",tt12304420,7.4
tm267419,Joe Rogan: Triggered,MOVIE,"Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins.",2016,,63,"['comedy', 'documentation']",tt6023444,7.4
